graph_type,size,probabilities,objective_value,time_ms,iterations,branch_and_bound_nodes
gnp_random_graph,80,0.5,6.0,4484,0,0
gnp_random_graph,80,0.8,4.0,377,0,0
gnp_random_graph,100,0.5,6.0,30426,0,0
gnp_random_graph,100,0.8,4.0,672,0,0
gnp_random_graph,10,0.5,3.0,29,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,6.0,49,0,0
gnp_random_graph,20,0.8,3.0,37,0,0
gnp_random_graph,40,0.5,6.0,732,0,0
gnp_random_graph,40,0.8,4.0,154,0,0
gnp_random_graph,80,0.5,6.0,7206,0,0
gnp_random_graph,80,0.8,4.0,409,0,0
gnp_random_graph,100,0.5,7.0,43048,0,0
gnp_random_graph,100,0.8,4.0,843,0,0
gnp_random_graph,10,0.5,4.0,22,0,0
gnp_random_graph,10,0.8,3.0,20,0,0
gnp_random_graph,20,0.5,5.0,39,0,0
gnp_random_graph,20,0.8,2.0,47,0,0
gnp_random_graph,40,0.5,6.0,308,0,0
gnp_random_graph,40,0.8,4.0,117,0,0
gnp_random_graph,80,0.5,6.0,2039,0,0
gnp_random_graph,80,0.8,4.0,539,0,0
gnp_random_graph,100,0.5,7.0,73883,0,0
gnp_random_graph,100,0.8,4.0,833,0,0
gnp_random_graph,10,0.5,4.0,21,0,0
gnp_random_graph,10,0.8,2.0,36,0,0
gnp_random_graph,20,0.5,5.0,52,0,0
gnp_random_graph,20,0.8,3.0,48,0,0
gnp_random_graph,40,0.5,6.0,185,0,0
gnp_random_graph,40,0.8,3.0,138,0,0
gnp_random_graph,80,0.5,6.0,2284,0,0
gnp_random_graph,80,0.8,4.0,543,0,0
gnp_random_graph,100,0.5,7.0,40047,0,0
gnp_random_graph,100,0.8,4.0,940,0,0
gnp_random_graph,10,0.5,5.0,25,0,0
gnp_random_graph,10,0.8,3.0,19,0,0
gnp_random_graph,20,0.5,4.0,46,0,0
gnp_random_graph,20,0.8,3.0,39,0,0
gnp_random_graph,40,0.5,6.0,553,0,0
gnp_random_graph,40,0.8,4.0,156,0,0
gnp_random_graph,80,0.5,6.0,10480,0,0
gnp_random_graph,80,0.8,4.0,497,0,0
gnp_random_graph,100,0.5,7.0,157509,0,0
