graph_type,size,probabilities,objective_value,time_ms,iterations,branch_and_bound_nodes
gnp_random_graph,10,0.5,4.0,27,0,0
gnp_random_graph,10,0.8,3.0,17,0,0
gnp_random_graph,20,0.5,4.0,30,0,0
gnp_random_graph,20,0.8,3.0,44,0,0
gnp_random_graph,40,0.5,5.0,147,0,0
gnp_random_graph,40,0.8,4.0,116,0,0
gnp_random_graph,80,0.5,7.0,13292,0,0
gnp_random_graph,80,0.8,4.0,412,0,0
gnp_random_graph,100,0.5,6.0,31012,0,0
gnp_random_graph,100,0.8,4.0,1400,0,0
gnp_random_graph,10,0.5,4.0,22,0,0
gnp_random_graph,10,0.8,2.0,17,0,0
gnp_random_graph,20,0.5,5.0,30,0,0
gnp_random_graph,20,0.8,3.0,37,0,0
gnp_random_graph,40,0.5,6.0,342,0,0
gnp_random_graph,40,0.8,4.0,137,0,0
gnp_random_graph,80,0.5,6.0,4915,0,0
gnp_random_graph,80,0.8,4.0,513,0,0
gnp_random_graph,100,0.5,7.0,27117,0,0
gnp_random_graph,100,0.8,4.0,669,0,0
gnp_random_graph,10,0.5,6.0,20,0,0
gnp_random_graph,10,0.8,2.0,25,0,0
gnp_random_graph,20,0.5,5.0,41,0,0
gnp_random_graph,20,0.8,4.0,49,0,0
gnp_random_graph,40,0.5,6.0,260,0,0
gnp_random_graph,40,0.8,4.0,138,0,0
gnp_random_graph,80,0.5,6.0,10229,0,0
gnp_random_graph,80,0.8,4.0,536,0,0
gnp_random_graph,100,0.5,6.0,7127,0,0
gnp_random_graph,100,0.8,4.0,694,0,0
gnp_random_graph,10,0.5,4.0,9,0,0
gnp_random_graph,10,0.8,2.0,9,0,0
gnp_random_graph,20,0.5,4.0,33,0,0
gnp_random_graph,20,0.8,2.0,42,0,0
gnp_random_graph,40,0.5,6.0,261,0,0
gnp_random_graph,40,0.8,4.0,119,0,0
gnp_random_graph,80,0.5,6.0,4891,0,0
gnp_random_graph,80,0.8,4.0,560,0,0
gnp_random_graph,100,0.5,7.0,34994,0,0
gnp_random_graph,100,0.8,4.0,770,0,0
gnp_random_graph,10,0.5,4.0,21,0,0
gnp_random_graph,10,0.8,2.0,25,0,0
gnp_random_graph,20,0.5,5.0,29,0,0
gnp_random_graph,20,0.8,4.0,57,0,0
gnp_random_graph,40,0.5,5.0,134,0,0
gnp_random_graph,40,0.8,4.0,147,0,0
gnp_random_graph,80,0.5,6.0,11091,0,0
